tituloPrincipal; tituloOriginal;genero;produtora;anoLancamento;tempoMinutos;notaMedia;numeroVotos
Sir Billi;Sir Billi;Adventure,Animation,Comedy;null;2012;76;3;702
Paprika;Papurika;Animation,Drama,Fantasy;Madhouse;2006;90;7.7;84366
Battle for Terra;Terra;Action,Adventure,Animation;MeniThings Productions;2007;90;6.5;11875
Evangelion: 2.0 You Can (Not) Advance;Evangerion shin gekijôban: Ha;Action,Animation,Drama;khara;2009;112;7.9;22144
Evangelion: 3.0 You Can (Not) Redo;Evangelion Shin Gekijôban: Kyu;Action,Animation,Drama;khara;2012;96;6.9;15962
Mr. Peabody & Sherman;Mr. Peabody & Sherman;Adventure,Animation,Comedy;Pacific Data Images;2014;92;6.8;71426
Monica's Gang in an Adventure in Time;Turma da Mônica em uma Aventura no Tempo;Adventure,Animation,Comedy;Mauricio de Sousa Produções;2007;81;7.1;553
Atagoal: Cat's Magical Forest;Atagooru wa neko no mori;Animation,Fantasy;null;2006;81;6;38
I Carry the Ticket of Eternity;Ginga tetsudô no yoru;Adventure,Animation,Fantasy;null;2006;0;6.7;32
Het verloren land;Het verloren land;Animation,Documentary,Drama;null;2006;58;6.3;13
Year of the Fish;Year of the Fish;Animation,Fantasy,Romance;null;2007;96;6.4;290
The Weathering Continent;Kaze no tairiku;Adventure,Animation,Fantasy;Production I.G;1992;54;5.9;170
Pokémon: Lucario and the Mystery of Mew;Gekijôban Poketto Monsutâ Adobansu Jenerêshon: Myû to hadô no yûsha Rukario;Action,Adventure,Animation;Pikachu Project;2005;103;6.8;4769
Christopher Molon;Cristóbal Molón;Adventure,Animation;Dibulitoon Studio;2006;70;6.5;29
Strawberry Shortcake: The Sweet Dreams Movie;Strawberry Shortcake: The Sweet Dreams Movie;Animation,Family;DiC Entertainment;2006;83;4.2;140
Ponyo;Gake no ue no Ponyo;Adventure,Animation,Comedy;Studio Ghibli;2008;101;7.6;145050
Franklin and the Turtle Lake Treasure;Franklin et le trésor du lac;Animation,Family,Fantasy;Gaumont Animation;2006;78;5.7;218
Going Nuts;Gritos en el pasillo;Action,Animation,Horror;Perro Verde Films;2006;75;6.4;202
Legends of Oz: Dorothy's Return;Legends of Oz: Dorothy's Return;Adventure,Animation,Family;Summertime Entertainment;2013;88;5;6077
Wool 100%;Wool 100%;Animation,Comedy,Fantasy;null;2006;100;6.4;235
The Christies;The Christies;Animation;null;2006;78;7.3;43
Robinson Crusoe;Il racconto della giungla;Adventure,Animation,Comedy;Corona Cinematografica;1974;88;7.2;76
The Flight Before Christmas;Niko - lentäjän poika;Adventure,Animation,Family;A. Film Production;2008;80;6.1;3551
Blue Seed Beyond;Aokushimitama blue seed 2;Animation,Comedy,Drama;movic;1997;100;6.5;71
Hamlet A.D.D.;Hamlet A.D.D.;Animation,Comedy,Fantasy;Special Entertainment;2014;95;6.1;113
How to Train Your Dragon;How to Train Your Dragon;Action,Adventure,Animation;DreamWorks Animation;2010;98;8.1;739336
Monsters vs. Aliens;Monsters vs. Aliens;Action,Adventure,Animation;DreamWorks Animation;2009;94;6.4;163768
Shrek Forever After;Shrek Forever After;Adventure,Animation,Comedy;DreamWorks Animation;2010;95;6.3;206226
Care Bears: Oopsy Does It!;Care Bears: Oopsy Does It!;Animation,Family;SD Entertainment;2007;72;4.5;202
Chicago 10;Chicago 10;Animation,Documentary,History;Consolidated Documentaries;2007;110;7.4;1357
Edison & Leo;Edison & Leo;Adventure,Animation,Comedy;A Perfect Circle Entertainment;2008;79;5.4;230
WALL·E;WALL·E;Adventure,Animation,Family;Pixar;2008;98;8.4;1112815
Jackboots on Whitehall;Jackboots on Whitehall;Animation,Comedy,Sci-Fi;Entertainment Motion Pictures;2010;91;5.2;1390
Steven Universe: The Movie;Steven Universe: The Movie;Action,Adventure,Animation;Cartoon Network Studios;2019;82;7.7;7514
The Donkey King;The Donkey King;Adventure,Animation,Comedy;null;2020;98;5.1;240
Kral Sakir Korsanlar Diyari;Kral Sakir Korsanlar Diyari;Adventure,Animation;BKM;2019;90;4.8;336
Shining Star: The Birth of New Luna-Queen;Shining Star: The Birth of New Luna-Queen;Animation,Fantasy,Musical;MARO STUDIO;2019;78;7.8;38
Thunder Island;Thunder Island;Adventure,Animation;null;2020;0;9.4;7
Josep;Josep;Animation,Biography,Drama;Les Films d'Ici Méditerranée;2020;71;7.4;1866
Yaya e Lennie: The Walking Liberty;Yaya e Lennie: The Walking Liberty;Animation;Mad Entertainment;2021;110;6.4;51
Inu-oh;Inu-oh;Animation,Fantasy,Music;Science SARU;2021;98;7.3;642
Hakubo;Hakubo;Animation,Drama,Romance;Presidio;2019;52;6;135
The Sky Crawlers;Sukai kurora;Animation,Drama,Sci-Fi;Production I.G;2008;122;6.7;5687
Attack of the Demons;Attack of the Demons;Animation,Horror;null;2019;75;5.8;175
Butt Detective the Movie;Butt Detective the Movie;Animation,Comedy,Family;Toei Animation;2019;68;4.8;16
Bongee Bear and the Kingdom of Rhythm;Bongee Bear and the Kingdom of Rhythm;Animation;Zemrak Pirkle Productions;2019;90;6.6;40
El ratón Pérez 2;El ratón Pérez 2;Adventure,Animation,Comedy;Patagonik;2008;90;3.8;280
Doraemon the Movie: Nobita's New Dinosaur;Eiga Doraemon: Nobita no shin kyôryû;Adventure,Animation,Comedy;Fujiko Productions;2020;110;7.1;1064
Monsters of the Id;Monsters of the Id;Animation;null;2007;75;4.1;14
Minushi;Minushi;Action,Adventure,Animation;null;2007;94;7.2;41
One Piece: The Giant Mechanical Soldier of Karakuri Castle;One piece: Karakuri shiro no Mecha Kyohei;Action,Animation,Comedy;Toei Animation;2006;94;6.5;1436
Lupin III: The First;Lupin III: The First;Action,Adventure,Animation;TMS Entertainment;2019;93;6.9;3126
Human Lost;Ningen shikkaku;Action,Animation,Sci-Fi;Polygon Pictures;2019;121;5.2;300
Ne Zha;Ne Zha zhi mo tong jiang shi;Action,Adventure,Animation;Beijing Enlight Pictures;2019;110;7.4;7753
Sailor Moon Eternal;Gekijouban Bishoujo Senshi Sailor Moon Eternal;Action,Adventure,Animation;Toei Animation;2021;160;6.9;1318
My Friend Ganesha;My Friend Ganesha;Animation,Fantasy;null;2007;190;4.8;216
Seer Movie 7: Crazy Intelligence;Sai er hao Da dian ying 7;Animation,Family;null;2019;98;3.5;8
Saezuru Tori Wa Habatakanai: The Clouds Gather;Saezuru Tori Wa Habatakanai: The Clouds Gather;Animation,Crime,Drama;GRIZZLY;2020;85;6.8;754
Detective Conan: The Last Wizard of the Century;Meitantei Conan: Seiki matsu no majutsushi;Adventure,Animation,Crime;TOHO;1999;99;7.5;2539
Entergalactic;Entergalactic;Animation,Comedy,Music;Khalabo Ink Society;2022;93;7.4;8703
No.7 Cherry Lane;Jìyuántái qihào;Animation,Drama,Romance;Far-Sun Film Company;2019;125;6;452
Detective Conan: Captured in Her Eyes;Meitantei Conan: Hitomi no naka no ansatsusha;Adventure,Animation,Crime;TOHO;2000;100;7.5;2614
Noah's Ark;El arca;Adventure,Animation,Comedy;Patagonik;2007;88;5.1;472
Crazy Birds;Crazy Birds;Animation,Musical;WOWNow Entertainment;2019;73;3.1;60
The Halloween Family;The Halloween Family;Animation;null;2019;82;2.7;46
Lil' Monsters;Lil' Monsters;Animation;null;2019;51;5.6;50
Dia of the Dead;Dia of the Dead;Animation;null;2019;81;3.3;89
Penguin Land;Penguin Land;Animation,Family;Dream Machine Animation;2019;70;5.2;27
A Dragon Adventure;A Dragon Adventure;Animation;null;2019;70;3.5;52
L.O.R.D: Legend of Ravaging Dynasties 2;L.O.R.D: Legend of Ravaging Dynasties 2;Action,Adventure,Animation;null;2020;0;4.9;261
The Amazing Adventures of the Living Corpse;The Amazing Adventures of the Living Corpse;Action,Animation,Fantasy;Dynamite Entertainment;2012;88;3.5;276
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom;Gekijô-ban Naruto: Daikôfun! Mikazukijima no animaru panikku dattebayo!;Action,Adventure,Animation;Pierrot;2006;95;6.3;4201
Yolanda, the Secret of the Black Rose;Yolanda, The Secret of the Black Rose;Animation;null;2000;75;6.9;13
The Impossible Voyage;The Impossible Voyage;Adventure,Animation,Biography;Media Film;2019;90;7.2;23
Detective Conan: Countdown to Heaven;Meitantei Conan: Tengoku no countdown;Action,Animation,Crime;TMS Entertainment;2001;100;7.6;2467
The Legend of Hei;Luo Xiao Hei zhan ji;Action,Adventure,Animation;MTJJ;2019;101;7.2;1724
The Testament of Sister New Devil: Departures;Shinmai Maou no Testament Departures;Action,Animation,Fantasy;null;2018;60;6.9;200
Three Musketeers in Boots;Nagagutsu sanjûshi;Adventure,Animation,Comedy;Toei Animation;1972;53;5.8;133
The King's Avatar: For the Glory;Quan zhi gao shou zhi dian feng rong yao;Animation;Shanghai Yuewen;2019;98;6.6;206
Prica o Miki mravu;Prica o Miki mravu;Animation;null;2019;46;8.6;7
Naksitrallid;Naksitrallid;Animation;Tallinnfilm;1990;61;7.6;56
Older Master Cute;Qi cai ka tong Lao Fu Zi;Animation,Comedy;null;1981;80;6.6;21
Gintama: The Final;Gintama: The Final;Action,Animation,Comedy;Bandai Namco Pictures;2021;104;8.5;2427
Yobi, the Five Tailed Fox;Cheon-nyeon-yeo-woo-yeo-woo-bi;Animation,Fantasy;Sunwoo Entertainment;2007;86;6.8;935
Ice Age: Dawn of the Dinosaurs;Ice Age: Dawn of the Dinosaurs;Adventure,Animation,Comedy;Blue Sky Studios;2009;94;6.9;246813
The Aurora;Umi no ourora;Action,Adventure,Animation;Nippon Television Network Corporation;2000;91;5;18
Cara sucia;Cara sucia;Adventure,Animation,Family;null;2019;95;5.5;13
Martín Fierro, La Película;Martín Fierro, La Película;Action,Adventure,Animation;Aleph;2007;88;6.9;146
Thomas & Friends: Digs & Discoveries;Thomas & Friends: Digs & Discoveries;Animation,Family;null;2019;66;6.4;18
A Truthful Mother;Punyakoti;Animation;Puppetica Media;2019;85;8.7;117
Riverdance: The Animated Adventure;Riverdance: The Animated Adventure;Adventure,Animation,Comedy;Cinesite Animation;2021;90;5.5;2000
The Forevers;The Forevers;Action,Adventure,Animation;null;2020;120;7.3;32
Tobias Knopp, Abenteuer eines Junggesellen;Tobias Knopp, Abenteuer eines Junggesellen;Animation;null;1953;76;5.2;16
EX-Driver the Movie;Ekusu doraibâ za mûbî;Action,Animation;null;2002;62;5.7;44
Unstable Fables: 3 Pigs & a Baby;Unstable Fables: 3 Pigs & a Baby;Animation,Comedy,Family;Flame Ventures;2008;76;5.2;805
Hello World!;Bonjour le monde;Animation;Normaal Animation;2019;67;6.7;45
Adventures of Petey and Friends;Adventures of Petey and Friends;Adventure,Animation,Comedy;Uncork'd Entertainment;2016;72;3.4;79
My Entire High School Sinking Into the Sea;My Entire High School Sinking Into the Sea;Action,Animation,Comedy;Low Spark Films;2016;75;6.1;1195
3 Bahadur: The Revenge of Baba Balaam;3 Bahadur: The Revenge of Baba Balaam;Action,Adventure,Animation;Waadi Animations;2016;107;6.6;194
Pachamama;Pachamama;Adventure,Animation,Family;Folivari;2018;72;6.8;915
Sword Art Online the Movie: Ordinal Scale;Gekijô-ban Sôdo Âto Onrain: Sword Art Online - Ôdinaru sukêru -;Action,Adventure,Animation;A-1 Pictures;2017;119;7.3;8237
Doraemon the Movie: Nobita and the Birth of Japan;Eiga Doraemon: Shin Nobita no Nippon tanjou;Adventure,Animation,Comedy;TOHO;2016;104;6.7;785
Todd and the Book of Pure Evil: The End of the End;Todd and the Book of Pure Evil: The End of the End;Animation,Comedy,Horror;Smiley Guy Studios;2017;80;7;424
Bogatyrsha;Bogatyrsha;Animation;Paradise Production Center;2016;79;2.7;75
Wish Dragon;Wish Dragon;Adventure,Animation,Comedy;Sony Pictures Animation;2021;98;7.2;27419
Thomas & Friends: The Great Race;Thomas & Friends: The Great Race;Adventure,Animation,Comedy;HiT Entertainment;2016;61;5.7;302
Super Mario Brothers: Great Mission to Rescue Princess Peach;Sûpâ Mario burazâzu: Pîchi-hime kyushutsu dai sakusen!;Adventure,Animation,Comedy;Horipro;1986;60;5.6;384
Black Jack: Two Doctors in Black;Black Jack: Futari no kuroi isha;Animation;Yomiuri Telecasting Corporation;2005;133;6.5;82
Princess Iron Fan;Tie shan gong zhu;Animation,Fantasy;null;1941;73;6.3;290
9;9;Action,Adventure,Animation;Tim Burton Productions;2009;79;7;141216
The Smurfs;The Smurfs;Adventure,Animation,Comedy;Sony Pictures Animation;2011;103;5.4;91273
Rennyo and His Mother;Rennyo to sono haha;Animation;null;1981;93;6.8;13
Ark;Ark;Action,Animation,Drama;Digital Dream Studios;2005;84;5.9;598
Doraemon: Nobita and the Wind Wizard;Doraemon: Nobita to fushigi kazetsukai;Adventure,Animation,Comedy;Shin-Ei Animation;2003;84;7;680
Inuyasha the Movie 4: Fire on the Mystic Island;Inuyasha the Movie: Vol. 4 - Fire on the Mystic Island;Action,Adventure,Animation;SUNRISE;2004;89;7.2;1874
The Pirates Who Don't Do Anything;The Pirates Who Don't Do Anything: A VeggieTales Movie;Adventure,Animation,Comedy;Big Idea Productions;2008;85;5.6;2931
The 1001 Gags of Spiff and Hercules;Les mille et une farces de Pif et Hercule;Animation;null;1993;80;7.4;45
Naruto the Movie: Ninja Clash in the Land of Snow;Gekijô-ban Naruto: Daikatsugeki! Yukihime ninpôchô dattebayo!!;Action,Adventure,Animation;Pierrot;2004;82;6.6;7100
Crayon Shin-Chan: The Hidden Treasure of the Buri Buri Kingdom;Kureyon Shinchan: Buriburi Ôkoku no hihô;Action,Adventure,Animation;Futabasha;1994;95;6.5;493
Zhizn i priklyucheniya chetyrekh druzei 5. Kot Semafor 6. Neznakomtsy;Zhizn i priklyucheniya chetyrekh druzei 5. Kot Semafor 6. Neznakomtsy;Adventure,Animation,Comedy;null;1993;56;7.7;59
Zhizn i priklyucheniya chetyrekh druzei 7. Sledstvie vedet Semafor 8. Podvig Varkhata;Zhizn i priklyucheniya chetyrekh druzei 7. Sledstvie vedet Semafor 8. Podvig Varkhata;Adventure,Animation,Comedy;null;1994;53;7.7;54
Madagascar: Escape 2 Africa;Madagascar: Escape 2 Africa;Adventure,Animation,Comedy;DreamWorks Animation;2008;89;6.6;229184
Impy's Island;Urmel aus dem Eis;Animation,Family;Bavaria Pictures;2006;87;5;750
Alexander the Great;Alexander the Great;Animation;Difarm Inc.;2006;80;5.3;229
Amazing Lives of the Fast Food Grifters;Tachiguishi retsuden;Animation,Comedy,Drama;Production I.G;2006;104;6.3;242
Virgin Beasts;Virgin Beasts;Animation,Comedy;Troma Entertainment;1992;79;5.5;29
The Croods;The Croods;Adventure,Animation,Comedy;DreamWorks Animation;2013;98;7.2;216158
Little Dodo;Kleiner Dodo;Adventure,Animation,Family;null;2008;79;6.5;84
Space Chimps;Space Chimps;Adventure,Animation,Comedy;Studiopolis;2008;81;4.5;11906
Das kleine Arschloch und der alte Sack - Sterben ist Scheiße;Das kleine Arschloch und der alte Sack - Sterben ist Scheiße;Animation,Comedy;TFC Trickompany Filmproduktion;2006;79;4.5;655
Fullmetal Alchemist the Movie: Conqueror of Shamballa;Gekijô-ban hagane no renkinjutsushi: Shanbara wo yuku mono;Action,Adventure,Animation;SQUARE ENIX;2005;105;7.3;11608
The Secret of Kells;The Secret of Kells;Adventure,Animation,Family;Cartoon Saloon;2009;71;7.6;35946
Fly Me to the Moon 3D;Fly Me to the Moon;Adventure,Animation,Family;uFilm;2007;84;4.5;4615
U;U;Animation,Family,Musical;Prima Linéa Productions;2006;75;6.5;268
The Princess and the Robot;A Princesa e o Robô;Adventure,Animation,Family;Mauricio de Sousa Produções;1983;93;7.1;228
Mobile Suit Z Gundam III: A New Translation - Love Is the Pulse of the Stars;Kidô senshi Z Gandamu III: Hoshi no kodô wa ai;Action,Animation,Drama;SUNRISE;2006;99;6.8;257
Hanuman;Hanuman;Animation;Percept Picture Company;2005;89;7.8;1393
The Legend of Sasquatch;The Legend of Sasquatch;Animation,Family;null;2006;74;4.1;140
El guerrero sin nombre;El guerrero sin nombre;Animation;Tornasol Films;2005;81;5.7;65
Origin: Spirits of the Past;Gin-iro no kami no Agito;Adventure,Animation,Drama;GONZO;2006;94;6.3;4718
Stanley's Dinosaur Round-Up;Stanley's Dinosaur Round-Up;Animation,Family,Western;null;2006;71;6.3;65
Shrek 2 Retold;Shrek 2 Retold;Animation;null;2021;92;8.7;9
Journey with Tarsilinha;Tarsilinha;Adventure,Animation,Comedy;H2O Films;2021;93;8.2;69
The Aviators;Cher Ami... ¡y yo!;Adventure,Animation,Family;TV3;2008;85;6.7;109
Who Are You, Charlie Brown?;Who Are You, Charlie Brown?;Animation,Biography,Documentary;Imagine Documentaries;2021;54;7.2;527
Mahayoddha Rama;Mahayoddha Rama;Animation;Contiloe Pictures;2016;106;7.8;49
Naruto Shippûden: The Movie 3: Inheritors of the Will of Fire;Gekijô-ban Naruto Shippûden: Hi no ishi wo tsugu mono;Action,Animation,Fantasy;Pierrot;2009;95;7;3843
Perlimps;Perlimps;Animation;Buriti Filmes;2022;75;8.5;20
The Lorax;The Lorax;Adventure,Animation,Comedy;Universal Pictures;2012;86;6.4;114654
Al Maht;Al Maht;Animation;null;2021;63;7.8;405
Bloodspell;Bloodspell;Action,Animation,Fantasy;null;2007;84;5.9;14
Bright: Samurai Soul;Bright: Samurai Soul;Action,Adventure,Animation;ARECT;2021;80;5.5;897
Redline;Redline;Action,Animation,Sci-Fi;TFC;2009;102;7.5;14762
AAA, la película: Sin límite en el tiempo;AAA, la película: Sin límite en el tiempo;Animation;Ánima Estudios;2010;90;5.8;62
Sisu: The Death of Tom Sukanen;Sisu: The Death of Tom Sukanen;Animation,Biography,Documentary;null;2009;91;8.5;12
The Prodigy;The Prodigy;Animation;null;2009;77;1.8;312
One Piece: Strong World;Wan pisu firumu: sutorongu warudo;Action,Adventure,Animation;Toei Animation;2009;113;7.5;5900
Shipwrecked Adventures of Donkey Ollie;Shipwrecked Adventures of Donkey Ollie;Action,Animation,Family;null;2007;78;7;32
Lorts of the Flys;Wlatcy móch: Cmoki, czopki i mondzioly;Animation,Comedy;null;2009;92;4.9;318
Khumba;Khumba;Adventure,Animation,Family;Triggerfish;2013;85;5.7;6196
Adventures in Zambezia;Zambezia;Adventure,Animation,Comedy;The Department of Trade and Industry of South Africa;2012;83;5.7;7340
Guillermo del Toro's Pinocchio;Guillermo del Toro's Pinocchio;Animation,Drama,Family;The Jim Henson Company;2022;117;8.1;2090
Professor Layton and the Eternal Diva;Eiga Reiton-kyôju to eien no utahime;Adventure,Animation,Crime;Level-5;2009;99;6.6;1473
Climbing;Keul-la-i-ming;Animation,Drama,Sport;Korean Academy of Film Arts;2020;77;4.3;11
My Uncle José;Meu Tio José;Animation,Drama;Origem Produtora de Conteúdo;2021;89;8;19
The Lego Movie;The Lego Movie;Action,Adventure,Animation;Village Roadshow Pictures;2014;100;7.7;356673
Mortal Kombat Legends: Battle of the Realms;Mortal Kombat Legends: Battle of the Realms;Action,Adventure,Animation;Warner Bros. Animation;2021;80;6.5;6807
Archon Defender;Archon Defender;Action,Animation,Fantasy;null;2009;70;7;80
Santaman;Santaman;Adventure,Animation,Family;Gravitas Ventures;2022;87;3.9;50
Symphony in August;8 gatsu no shinfonî: Shibuya 2002-2003;Animation;WAO World;2009;120;6.1;25
Gekijô Yattâman: Shin Yattâmanmeka daishûgô! Omocha no kuni de daikessen da koron!;Gekijô Yattâman: Shin Yattâmanmeka daishûgô! Omocha no kuni de daikessen da koron!;Animation;Tatsunoko Production;2009;94;5.8;18
The Aristocats;The AristoCats;Adventure,Animation,Comedy;Walt Disney Productions;1970;78;7.1;105395
Atakku no. 1;Atakku no. 1;Animation,Drama,Sport;Tokyo Movie;1970;63;7.2;19
Little Remi and Famous Dog Capi;Chibikko Remi to meiken Capi;Adventure,Animation,Drama;Toei Animation;1970;81;6.9;78
Max, Sally and the Magic Phone;Mach, Sebestová a kouzelné sluchátko;Animation,Comedy,Family;Ateliéry Bonton Zlín;2001;94;3.9;152
Mr Rossi's Vacation;Le vacanze del signor Rossi;Adventure,Animation;HR;1976;84;7.4;157
The Jungle Book 2;The Jungle Book 2;Adventure,Animation,Comedy;DisneyToon Studios;2003;72;5.3;16700
Mercano the Martian;Mercano, el marciano;Animation,Comedy,Sci-Fi;Malcriados;2002;87;6.6;495
Duck Ugly;Duck Ugly;Animation;Millimages;2000;65;6;23
Petit Potam;Petit Potam;Animation;null;2001;77;6.5;23
Walter Melon;Walter Melon;Animation;null;1993;0;6.8;10
Kosuke and Rikimaru: Dragon of Konpei Island;Kosuke-sama Rikimaru-sama: Konpeitou no Ryuu;Action,Adventure,Animation;J.C.STAFF;1988;47;5.7;35
The Triplets of Belleville;Les triplettes de Belleville;Animation,Comedy,Drama;Production Champion;2003;80;7.7;54853
Tootletubs & Jyro;Turilas & Jäärä;Animation,Family;Lumifilm;2001;65;7.4;86
Bahía mágica;Bahía mágica;Adventure,Animation,Comedy;null;2002;89;6.1;22
Pokemon 4Ever: Celebi - Voice of the Forest;Poketto monsutâ: Serebî - Toki wo koeta deai;Action,Adventure,Animation;Pikachu Project 2001;2001;75;5.7;8782
Les Boulugres;Les Boulugres;Animation;France 3;1984;75;6.3;14
Peraustrínia 2004;Peraustrínia 2004;Animation,Sci-Fi;null;1990;75;7.2;48
The Journey to Melonia;Resan till Melonia;Adventure,Animation,Family;PennFilm Studio AB;1989;104;7.3;1373
Sárkány és papucs;Sárkány és papucs;Animation;null;1990;72;7;209
Willy the Sparrow;Vili, a veréb;Adventure,Animation,Comedy;Pannónia Filmstúdió;1989;76;7.4;1187
Wicked City;Yôjû toshi;Action,Animation,Fantasy;Madhouse;1987;82;6.7;8193
City Hunter: Bay City Wars;City Hunter: Bay City Wars;Action,Animation,Comedy;SUNRISE;1990;45;7;323
Colargol zdobywca kosmosu;Colargol zdobywca kosmosu;Animation;null;1979;67;7.2;21
Despertaferro;Despertaferro;Adventure,Animation,Fantasy;TV3;1990;75;6.2;47
DuckTales the Movie: Treasure of the Lost Lamp;DuckTales the Movie: Treasure of the Lost Lamp;Adventure,Animation,Comedy;Walt Disney Animation;1990;74;6.8;27229
Evil Toons;Evil Toons;Animation,Comedy,Fantasy;American Independent Productions;1992;90;4.1;3137
Jetsons: The Movie;Jetsons: The Movie;Animation,Comedy,Family;Hanna-Barbera Productions;1990;82;5.5;5368
Motýlí cas;Motýlí cas;Animation,Family,Fantasy;Les Productions La Fête;1991;84;6.4;123
The Nutcracker Prince;The Nutcracker Prince;Adventure,Animation,Family;Lacewood Productions;1990;75;6.8;2475
Patlabor: The Movie;Kidô keisatsu patorebâ: Gekijô-ban;Action,Animation,Crime;Studio Deen;1989;100;7;5184
Peter in Magicland;Peterchens Mondfahrt;Adventure,Animation,Family;Televersal;1990;80;7.2;335
The Rescuers Down Under;The Rescuers Down Under;Adventure,Animation,Comedy;Walt Disney Pictures;1990;77;6.8;43667
Werner - Beinhart!;Werner - Beinhart!;Action,Animation,Comedy;Constantin Film;1990;93;6.7;5888
An American Tail: Fievel Goes West;An American Tail: Fievel Goes West;Adventure,Animation,Family;Amblin Entertainment;1991;75;6.4;26714
Beertje Sebastiaan: De geheime Opdracht;Beertje Sebastiaan: De geheime Opdracht;Animation;Frank Fehmers Productions;1991;79;6.1;89
Ranma ½: The Movie, Big Trouble in Nekonron, China;Ranma ½: Chûgoku Nekonron daikessen! Okite yaburi no gekitô hen;Animation,Comedy,Fantasy;Studio Deen;1991;74;7;916
War of the Birds;Fuglekrigen i Kanøfleskoven;Animation,Family,Musical;null;1990;68;7.2;880
Charlie Strapp and Froggy Ball Flying High;Kalle Stropp och Grodan Boll på svindlande äventyr;Adventure,Animation,Family;Cinémation;1991;83;6.5;420
The Magic Riddle;The Magic Riddle;Animation,Fantasy;Yoram Gross Films;1991;93;6;259
Only Yesterday;Omohide poro poro;Animation,Drama,Romance;Studio Ghibli;1991;119;7.6;32975
Oggy and the Cockroaches: The Movie;Oggy et les cafards;Adventure,Animation,Comedy;France 3 Cinéma;2013;80;6.4;1001
Still Living in God's Universe;Still Living in God's Universe;Action,Animation,Drama;null;2013;79;8.2;29
Lajka;Lajka;Animation,Comedy,Family;Studio ZVON;2017;88;5.8;91
Little from the Fish Shop;Malá z rybárny;Animation,Drama,Fantasy;Česká televize;2015;72;6.9;98
Flaming Nipples;Mamilos em Chamas;Animation;null;2008;57;7.2;50
Jasmine;Jasmine;Animation;Alain Ughetto;2013;70;6.8;42
GadgetGang in Outer Space;BugiGangue no Espaço;Adventure,Animation,Comedy;Imagem Filmes;2017;80;4.2;171
Spies in Disguise;Spies in Disguise;Action,Adventure,Animation;Chernin Entertainment;2019;102;6.8;49925
Mosley;Mosley;Adventure,Animation,Family;Huhu Studios;2019;100;6.3;1092
Ice Princess Lily;Tabaluga;Adventure,Animation,Comedy;Deutsche Columbia Pictures Filmproduktion;2018;90;5.1;247
Kai;Ka-i: Geo-wool ho-su-eui jeon-seol;Animation,Family;Studio Dadashow;2016;96;4;29
Finding Santa;Den magiske juleæske;Animation,Family;Copenhagen Bombay;2016;80;6.7;71
Gekijôban Hakuôki: Dainishô shikon sôkyô;Gekijôban Hakuôki: Dainishô shikon sôkyô;Animation;Studio Deen;2014;87;6.9;110
Talking About Adultery;Talking About Adultery;Animation,Biography,Documentary;Incomplete Pictures;2019;72;6.3;26
Ralph Breaks the Internet;Ralph Breaks the Internet;Adventure,Animation,Comedy;Walt Disney Pictures;2018;112;7;162214
Up and Away;Hodja fra Pjort;Animation,Family;Det Danske Filminstitut;2018;81;5.4;453
The Caillou Gets Grounded Movie;The Caillou Gets Grounded Movie;Adventure,Animation,Comedy;null;2016;90;6;112
Alipato: The Very Brief Life of an Ember;Alipato: The Very Brief Life of an Ember;Animation,Comedy,Crime;Rapid Eye Movies;2016;88;5.9;134
Gnome Alone;Gnome Alone;Adventure,Animation,Comedy;Vanguard Animation;2017;85;5.6;3657
The Big Bad Fox and Other Tales;Le grand méchant renard et autres contes...;Adventure,Animation,Comedy;Folivari;2017;83;7.4;3183
Space Detective;Space Detective;Adventure,Animation,Sci-Fi;Swamp Media Group;2017;73;7.6;52
Batman Beyond: Rising Knight;Batman Beyond: Rising Knight;Animation;null;2014;45;6.7;21
Mobile Suit Gundam: The Origin III - Dawn of Rebellion;Kidou senshi Gandamu: The Origin III - Akatsuki no houki;Action,Animation,Drama;SUNRISE;2016;68;8;504
Pokémon the Movie: Volcanion and the Mechanical Marvel;Pokemon za mubi XY& Z 'borukenion to kiko (karakuri) no magiana;Action,Adventure,Animation;OLM;2016;90;5.9;1372
I Want to Let You Know That I Love You;Zuttomaekara sukideshita.: Kokuhaku jikkou iinkai;Animation,Drama,Romance;HoneyWorks;2016;63;6.5;985
The Blue Elephant 2;Elephant Kingdom;Adventure,Animation,Family;Simka Entertainment;2009;93;3.3;132
Slugterra: Into the Shadows;Slugterra: Into the Shadows;Action,Adventure,Animation;null;2016;0;6.6;127
Louise by the Shore;Louise en hiver;Animation,Drama;JPL Films;2016;75;7.1;1146
Monster High: Welcome to Monster High;Monster High: Welcome to Monster High;Animation,Fantasy;Appa Productions;2016;73;5.5;633
Rudolf the Black Cat;Rudorufu to Ippaiattena;Adventure,Animation,Comedy;Sprite Animation Studios;2016;89;6.6;870
Doraemon: Great Adventure in the Antarctic Kachi Kochi;Eiga Doraemon: Nobita no nankyoku kachikochi daibouken;Adventure,Animation,Comedy;Shin-Ei Animation;2017;101;6.6;1017
No Game No Life: Zero;Nôgêmu nôraifu: Zero;Adventure,Animation,Comedy;Madhouse;2017;110;7.3;4067
Code Geass: Akito the Exiled Final - To Beloved Ones;Code Geass: Boukoku no Akito Final - Itoshiki Monotachi e;Action,Animation,Sci-Fi;null;2016;60;6.3;529
